neighborhood_code,neighborhood_name,postal_code,postal_area,postal_code_m2,Total,Men,Women,population_density_km2,restaurant_count
147,Frederiksberg,1921,Frederiksberg C,1565,74,36,38,47284.34504792332,0
147,Frederiksberg,1922,Frederiksberg C,13367,96,49,47,7181.86578888307,0
147,Frederiksberg,1923,Frederiksberg C,4279,224,103,121,52348.67959803693,0
147,Frederiksberg,1924,Frederiksberg C,14686,172,80,92,11711.834400108948,0
147,Frederiksberg,1925,Frederiksberg C,21137,40,19,21,1892.416142309694,0
147,Frederiksberg,1926,Frederiksberg C,16466,34,20,14,2064.860925543544,0
147,Frederiksberg,1927,Frederiksberg C,6341,58,31,27,9146.822267781106,0
147,Frederiksberg,1928,Frederiksberg C,8769,15,6,9,1710.5713308244951,0
147,Frederiksberg,1950,Frederiksberg C,26982,496,234,262,18382.625454006375,1
147,Frederiksberg,1951,Frederiksberg C,4248,162,78,84,38135.59322033898,0
147,Frederiksberg,1952,Frederiksberg C,6862,334,178,156,48673.85601865345,0
147,Frederiksberg,1953,Frederiksberg C,11743,419,199,220,35680.8311334412,0
147,Frederiksberg,1954,Frederiksberg C,33171,1166,534,632,35151.18627716982,1
147,Frederiksberg,1955,Frederiksberg C,17029,356,167,189,20905.514122966706,0
147,Frederiksberg,1956,Frederiksberg C,8407,363,174,189,43178.303794457,0
147,Frederiksberg,1957,Frederiksberg C,13936,392,179,213,28128.587830080367,0
147,Frederiksberg,1958,Frederiksberg C,85739,292,135,157,3405.6846942464927,7
147,Frederiksberg,1959,Frederiksberg C,18218,81,39,42,4446.152157207157,0
147,Frederiksberg,1960,Frederiksberg C,2690,515,249,266,191449.81412639405,3
147,Frederiksberg,1961,Frederiksberg C,9346,396,191,205,42371.067836507595,0
147,Frederiksberg,1962,Frederiksberg C,21237,217,109,108,10218.015727268446,0
147,Frederiksberg,1963,Frederiksberg C,8529,163,73,90,19111.267440497126,0
147,Frederiksberg,1964,Frederiksberg C,28342,460,208,252,16230.32954625644,0
147,Frederiksberg,1965,Frederiksberg C,3660,81,36,45,22131.147540983606,0
147,Frederiksberg,1966,Frederiksberg C,13652,242,114,128,17726.340462935834,0
147,Frederiksberg,1967,Frederiksberg C,17099,209,102,107,12222.937013860459,0
147,Frederiksberg,1970,Frederiksberg C,42650,522,251,271,12239.15592028136,4
147,Frederiksberg,1971,Frederiksberg C,6031,147,73,74,24374.067318852594,0
147,Frederiksberg,1972,Frederiksberg C,15483,377,181,196,24349.28631402183,0
147,Frederiksberg,1973,Frederiksberg C,23686,307,151,156,12961.242928312084,0
147,Frederiksberg,1974,Frederiksberg C,10106,24,12,12,2374.8268355432415,0
147,Frederiksberg,2000,Frederiksberg,6600000,71251,33507,37744,10795.606060606062,187
