neighborhood_id,neighborhood_name,postal_code,postal_area,postal_code_m2,Total,Men,Women
101,København,1415,København K,33157,719,340,379
101,København,1416,København K,15737,473,209,264
101,København,1417,København K,2938,85,38,47
101,København,1418,København K,2218,263,117,146
101,København,1419,København K,5935,19,10,9
101,København,1420,København K,31910,665,303,362
101,København,1421,København K,1648,35,18,17
101,København,1422,København K,63893,852,404,448
101,København,1423,København K,3713,94,44,50
101,København,1424,København K,28942,390,179,211
101,København,1425,København K,4488,266,128,138
101,København,1426,København K,16344,145,71,74
101,København,1427,København K,8075,218,111,107
101,København,1428,København K,5553,458,229,229
101,København,1429,København K,9472,518,222,296
101,København,1430,København K,15209,405,180,225
101,København,1431,København K,-,0,0,0
101,København,1432,København K,1939000,2185,1114,1071
101,København,1433,København K,92605,0,0,0
101,København,1434,København K,49475,140,73,67
101,København,1435,København K,44273,103,54,49
101,København,1436,København K,179000,498,231,267
101,København,1437,København K,176000,444,212,232
101,København,1439,København K,285000,159,77,82
101,København,1440,København K,320000,721,379,342
101,København,1441,København K,203000,156,82,74
101,København,1450,København K,5610,55,31,24
101,København,1451,København K,7133,72,26,46
101,København,1452,København K,20655,125,60,65
101,København,1453,København K,5323,332,173,159
101,København,1454,København K,8905,155,70,85
101,København,1455,København K,10172,364,174,190
101,København,1456,København K,10646,127,62,65
101,København,1457,København K,20660,6,3,3
101,København,1458,København K,6994,69,31,38
101,København,1459,København K,3526,46,19,27
101,København,1460,København K,5828,63,32,31
101,København,1462,København K,1486,85,47,38
101,København,1463,København K,4258,26,15,11
101,København,1464,København K,3098,8,5,3
101,København,1466,København K,6033,110,60,50
101,København,1467,København K,3270,69,32,37
101,København,1468,København K,13512,119,58,61
101,København,1470,København K,21269,76,9,67
101,København,1471,København K,12112,40,20,20
101,København,1472,København K,15630,65,31,34
101,København,1473,København K,7386,24,14,10
101,København,1500,København V,-,0,0,0
101,København,1550,København V,45567,12,9,3
101,København,1551,København V,6405,0,0,0
101,København,1552,København V,26563,387,191,196
101,København,1553,København V,155000,418,210,208
101,København,1554,København V,4253,0,0,0
101,København,1555,København V,7512,18,12,6
101,København,1556,København V,10004,39,17,22
101,København,1557,København V,5787,86,41,45
101,København,1558,København V,3378,60,30,30
101,København,1559,København V,81336,30,16,14
101,København,1560,København V,168000,5,5,0
101,København,1561,København V,263000,714,362,352
101,København,1562,København V,20639,31,13,18
101,København,1563,København V,2264,17,9,8
101,København,1564,København V,10307,122,56,66
101,København,1568,København V,15207,65,33,32
101,København,1569,København V,4467,92,46,46
101,København,1570,København V,26945,0,0,0
101,København,1571,København V,13313,43,19,24
101,København,1572,København V,6638,113,57,56
101,København,1573,København V,6905,357,185,172
101,København,1574,København V,10485,82,40,42
101,København,1575,København V,6175,24,12,12
101,København,1576,København V,20181,60,31,29
101,København,1577,København V,280000,665,416,249
101,København,1600,København V,7583,29,15,14
101,København,1601,København V,199000,515,259,256
101,København,1602,København V,51014,29,12,17
101,København,1603,København V,4136,73,31,42
101,København,1605,København V,2592,35,26,9
101,København,1606,København V,26302,219,110,109
101,København,1608,København V,10407,31,11,20
101,København,1609,København V,16215,2,2,0
101,København,1610,København V,154000,647,329,318
101,København,1611,København V,18109,0,0,0
101,København,1614,København V,6047,31,18,13
101,København,1615,København V,2916,222,109,113
101,København,1616,København V,4028,127,53,74
101,København,1617,København V,5215,143,61,82
101,København,1618,København V,17215,281,142,139
101,København,1619,København V,3332,142,67,75
101,København,1620,København V,66324,3160,1597,1563
101,København,1621,København V,15019,113,57,56
101,København,1622,København V,1507,192,84,108
101,København,1623,København V,6864,134,66,68
101,København,1624,København V,6999,168,84,84
101,København,1631,København V,9853,209,100,109
101,København,1632,København V,1975,142,74,68
101,København,1633,København V,10965,107,53,54
101,København,1634,København V,4776,175,83,92
101,København,1635,København V,15606,151,78,73
101,København,1650,København V,29825,1506,746,760
101,København,1651,København V,8709,340,183,157
101,København,1652,København V,4989,273,138,135
101,København,1653,København V,17718,247,127,120
101,København,1654,København V,13015,422,212,210
101,København,1655,København V,16149,524,261,263
101,København,1656,København V,18735,708,344,364
101,København,1657,København V,13288,522,243,279
101,København,1658,København V,25049,868,403,465
101,København,1659,København V,662,50,27,23
101,København,1660,København V,20033,714,346,368
101,København,1661,København V,15381,437,206,231
101,København,1662,København V,25223,958,453,505
101,København,1663,København V,37385,1556,712,844
101,København,1664,København V,7872,103,52,51
