latitude,longitude,aadt_fod_7_19,hvdt_fod_7_19,postal_code,Total,Men,Women,population_density_km2
55.707340260693314,12.454836659472251,1305.5447211621783,1333.89665643193,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70835250555608,12.454836659472251,1207.5644695289714,1232.4546394394172,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70936472419531,12.454836659472251,1095.344011721117,1116.3210904029722,2700,45950.0,22892.0,23058.0,5603.658536585366
55.7103769166114,12.454836659472251,994.907609226339,1012.3865434231318,2700,45950.0,22892.0,23058.0,5603.658536585366
55.711389082804686,12.454836659472251,936.4479677525136,951.8985829987412,2700,45950.0,22892.0,23058.0,5603.658536585366
55.71240122277553,12.454836659472251,937.9031972577992,953.4420198003172,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70531569229578,12.45663329004049,1318.4315039095568,1346.874290676799,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70632798960668,12.45663329004049,1266.6355123668538,1292.9335843388194,2700,45950.0,22892.0,23058.0,5603.658536585366
55.707340260693314,12.45663329004049,1197.6476317941415,1221.517305868159,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70835250555608,12.45663329004049,1091.0477075254837,1111.356589373606,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70936472419531,12.45663329004049,950.628582662952,966.2129081740665,2700,45950.0,22892.0,23058.0,5603.658536585366
55.7103769166114,12.45663329004049,819.4595227870489,830.5707000690204,2700,45950.0,22892.0,23058.0,5603.658536585366
55.711389082804686,12.45663329004049,744.630383466698,753.1748254441917,2700,45950.0,22892.0,23058.0,5603.658536585366
55.71240122277553,12.45663329004049,745.176078709362,753.767823558574,2700,45950.0,22892.0,23058.0,5603.658536585366
55.71341333652432,12.45663329004049,823.1971689711975,834.559867682998,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70430336876027,12.45842992060873,1228.418261643819,1253.4339392319682,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70531569229578,12.45842992060873,1185.1089394707385,1207.735713924101,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70632798960668,12.45842992060873,1151.3746635329326,1172.522941233948,2700,45950.0,22892.0,23058.0,5603.658536585366
55.707340260693314,12.45842992060873,1106.6273490297256,1126.431020678869,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70835250555608,12.45842992060873,1006.643212759567,1023.4716846314276,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70936472419531,12.45842992060873,839.4261651730484,850.8956848416767,2700,45950.0,22892.0,23058.0,5603.658536585366
55.7103769166114,12.45842992060873,677.2118168370646,683.2706281031252,2700,45950.0,22892.0,23058.0,5603.658536585366
55.711389082804686,12.45842992060873,593.3203139997338,596.5323640357633,2700,45950.0,22892.0,23058.0,5603.658536585366
55.71240122277553,12.45842992060873,594.2294876353437,597.4860839442242,2700,45950.0,22892.0,23058.0,5603.658536585366
55.71341333652432,12.45842992060873,680.0273911470721,686.2717760610167,2700,45950.0,22892.0,23058.0,5603.658536585366
55.7144254240514,12.45842992060873,856.1649966972658,868.5739516476553,2700,45950.0,22892.0,23058.0,5603.658536585366
55.715437485357135,12.45842992060873,1091.2765358850602,1111.995344590853,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70430336876027,12.460226551176968,1083.761806760774,1102.4746498284082,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70531569229578,12.460226551176968,1040.5834901293138,1056.652102063694,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70632798960668,12.460226551176968,1025.3728497874774,1040.6169432087115,2700,45950.0,22892.0,23058.0,5603.658536585366
55.707340260693314,12.460226551176968,1024.9823479995678,1040.7135342768045,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70835250555608,12.460226551176968,966.6766034530812,981.4168390330163,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70936472419531,12.460226551176968,787.9881003599152,797.4582533302876,2700,45950.0,22892.0,23058.0,5603.658536585366
55.7103769166114,12.460226551176968,595.8490757970307,599.0693777880773,2700,45950.0,22892.0,23058.0,5603.658536585366
55.711389082804686,12.460226551176968,514.9599880653542,515.4672359683773,2700,45950.0,22892.0,23058.0,5603.658536585366
55.71240122277553,12.460226551176968,516.1856839869711,516.7367102805822,2700,45950.0,22892.0,23058.0,5603.658536585366
55.71341333652432,12.460226551176968,600.1590750085626,603.5806799686967,2700,45950.0,22892.0,23058.0,5603.658536585366
55.7144254240514,12.460226551176968,807.5389596083415,818.0971313474221,2700,45950.0,22892.0,23058.0,5603.658536585366
55.715437485357135,12.460226551176968,1087.468451240988,1107.777137358751,2700,45950.0,22892.0,23058.0,5603.658536585366
55.7164495204419,12.460226551176968,1359.176887783247,1389.134504472426,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70329101899979,12.462023181745206,1001.7149613596218,1018.7222842499464,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70430336876027,12.462023181745206,947.1554095875412,959.6488003675288,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70531569229578,12.462023181745206,892.9001934369181,902.0760478366182,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70632798960668,12.462023181745206,883.3794361534763,891.8819401283456,2700,45950.0,22892.0,23058.0,5603.658536585366
55.707340260693314,12.462023181745206,930.4669787521764,941.276339615548,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70835250555608,12.462023181745206,967.3935749010108,981.0853474484238,2700,45950.0,22892.0,23058.0,5603.658536585366
55.70936472419531,12.462023181745206,833.7705958281891,844.4468206829479,2700,45950.0,22892.0,23058.0,5603.658536585366
