Name,Address,P-nummer,Status,Company Type,Startdate,Enddate
Indoitaliano,"Frederiksborgvej 17, 2400 København NV",1028256635,Ophørt,P-enhed,,
bruj Ibrahim,"Nordre Fasanvej 81, 1. tv, 2000 Frederiksberg",1028613918,Ophørt,P-enhed,,
Hotdog Station,"Valhøjs Alle 57, 4. 8, 2610 Rødovre",1030356086,Ophørt,P-enhed,,
Stjerne kebab/Mustafa Ergin,"Hvidovrevej 90, 2650 Hvidovre",1028707831,Ophørt,P-enhed,01.11.2022,30.01.2025
Landkost v /daniel molero martos,"Nørregade 56A, 3390 Hundested",1031026691,Ophørt,P-enhed,01.02.2025,03.02.2025
Burger House Lyngby v/Yuzay,"Lystoftevej 52, 2800 Kongens Lyngby",1030345130,Ophørt,P-enhed,08.05.2024,19.01.2025
wok our way,"Århusgade 87, 2100 København Ø",1029072473,Ophørt,P-enhed,01.02.2023,22.01.2025
Pizza Get and Go,"Ådalsparkvej 61, 1. mf, 2970 Hørsholm",1030690636,Ophørt,P-enhed,01.10.2024,25.02.2025
The Wing Spot ApS,"H.C. Ørsteds Vej 6, 1879 Frederiksberg C",1027719267,Ophørt,P-enhed,11.11.2021,26.02.2025
Reef Burgers & Fries ApS,"Gartnervangen 18, 3700 Rønne",1028063780,Ophørt,P-enhed,04.03.2022,12.03.2025
Sneglehuset,"Lodager 7, 2620 Albertslund",1022330493,Ophørt,P-enhed,,
Roma Pizza Valby ApS,"Vigerslevvej 152, 2500 Valby",1026427823,Ophørt,P-enhed,,
Tacopop Taqueria,"Odensegade 20, 2100 København Ø",1022799467,Ophørt,P-enhed,,
Alunas,"Sorgenfrigårdsvej 80, 2800 Kongens Lyngby",1031119088,Ophørt,P-enhed,01.03.2025,31.03.2025
Højdevej Pizzeria,"Højdevej 18, 2300 København S",1031046617,Ophørt,P-enhed,04.12.2024,07.04.2025
Churras & Co. I/S,"Gyngemose Parkvej 37, 3. th, 2860 Søborg",1030731766,Ophørt,P-enhed,09.10.2024,07.04.2025
Hasan Huseyin Kurt,"Amagerfælledvej 83, 1. th, 2300 København S",1017914304,Ophørt,P-enhed,01.09.2012,31.03.2025
Thaifood,"Letlandsgade 3, 2. mf, 1723 København V",1029921977,Ophørt,P-enhed,05.12.2023,14.04.2025
Møbelhjem,"Montagehalsvej 3, 1. tv, 2500 Valby",1029526857,Ophørt,P-enhed,14.08.2023,15.04.2025
Giovanni's ApS,"Slangerupgade 55, 3400 Hillerød",1020399852,Ophørt,P-enhed,12.05.2015,04.03.2025
KRAKK APS,"Nygårdsvej 45, 2100 København Ø",1024227606,Ophørt,P-enhed,18.12.2018,16.01.2025
Pizza Time v/Fahrettin G.,"Frederiksborgvej 236, 2400 København NV",1027657253,Ophørt,P-enhed,22.10.2021,20.01.2025
yz supreme,"Herlev Hovedgade 127, st., 2730 Herlev",1024949660,Ophørt,P-enhed,20.08.2019,20.01.2025
Gosht ApS,"Refshalevej 167A, 1432 København K",1027292271,Ophørt,P-enhed,24.06.2021,01.01.2025
Barakat Grill & Pizza v/Haidar Abbas Mohammad Al-Adili,"Toftegårds Allé 49, 2500 Valby",1011161959,Ophørt,P-enhed,01.03.2005,01.01.2025
Sundsandwich Amager,"Tingvej 10, st., 2300 København S",1027603307,Ophørt,P-enhed,01.10.2021,12.02.2025
Brango ApS,"Valby Langgade 53, st., 2500 Valby",1021923342,Ophørt,P-enhed,14.11.2016,29.01.2025
Food Truck,"Glentehusene 32, 2620 Albertslund",1026316371,Ophørt,P-enhed,01.10.2020,10.02.2025
Kebabi,"Jernbane Allé 42, 2720 Vanløse",1022998222,Ophørt,P-enhed,09.12.2024,24.02.2025
Den Røde Vogn,"Sct Anna Gade 70, 3., 3000 Helsingør",1025134520,Ophørt,P-enhed,10.10.2019,07.03.2025
La Rucula v/Abdullah Cømert,"Gefionsvej 47C, 3000 Helsingør",1015831207,Ophørt,P-enhed,01.01.2010,10.03.2025
Rønnebær Kebab,"Egevænget 7, 3000 Helsingør",1030811409,Ophørt,P-enhed,27.10.2024,31.03.2025
SD food,"Fuglebakken 1, 3630 Jægerspris",1030005267,Ophørt,P-enhed,15.01.2024,31.03.2025
Prego I/S,"Nedertoften 23, 1. tv, 2720 Vanløse",1028534988,Ophørt,P-enhed,31.08.2022,31.03.2025
Hjalte Hauge Lak,"Hagerup Søvej 11, 3650 Ølstykke",1024508400,Ophørt,P-enhed,14.03.2019,24.03.2025
Duniya Palace,"Falkoner Alle 8, 2000 Frederiksberg",1022219045,Ophørt,P-enhed,01.03.2017,28.02.2025
Det Lille Pizzahus,"Saltværksvej 78, 2770 Kastrup",1025336743,Ophørt,P-enhed,13.12.2019,28.02.2025
Crepe Me Up,"H.C. Ørsteds Vej 28D, st. tv, 1879 Frederiksberg C",1030488756,Ophørt,P-enhed,01.07.2024,02.04.2025
royal bagel,"Damhustorvet 3, 2610 Rødovre",1028507190,Ophørt,P-enhed,29.08.2022,01.04.2025
Riff's,"Daruplund 37, 1. th, 2660 Brøndby Strand",1029837976,Ophørt,P-enhed,15.11.2023,02.04.2025
Fantasia Pizza v/Halis Atici,"Frederikssundsvej 68A, 2400 København NV",1014851077,Ophørt,P-enhed,01.11.2008,28.01.2025
LA LUNA PIZZA,"Haraldsgade 54, 2100 København Ø",1027011647,Ophørt,P-enhed,01.04.2021,28.01.2025
The Sandwich Club,"Haraldsgade 1, st. th, 2200 København N",1028546765,Ophørt,P-enhed,02.09.2022,31.01.2025
Al Dente ApS,"Nordre Toldbod 18, 1259 København K",1028849369,Ophørt,P-enhed,09.12.2022,28.01.2025
nl food truk snaks,"Robert Jacobsens Vej 24, st. 2, 2300 København S",1030862607,Ophørt,P-enhed,25.11.2024,06.03.2025
Euroasia Madhus v/Farid Hussain,"Nordre Frihavnsgade 82, st., 2100 København Ø",1013169752,Ophørt,P-enhed,01.04.2007,31.01.2025
Min forretning v/Younis J,"Torvegade 62, st. tv, 1400 København K",1030470849,Ophørt,P-enhed,24.06.2024,02.03.2025
AG Entertainment ApS,"Gruset 7, 3740 Svaneke",1030442187,Ophørt,P-enhed,07.06.2024,20.03.2025
Babino Restruant Pizzeria,"Gilleleje Stationsvej 3A, 3250 Gilleleje",1029468563,Ophørt,P-enhed,06.07.2023,31.03.2025
Il Molino,"Gammel Lundtoftevej 14, 2800 Kongens Lyngby",1023909622,Ophørt,P-enhed,29.08.2018,16.03.2025
Utterslev Pizzeria v/Sukran,"Utterslev Torv 18, 2400 København NV",1028408745,Ophørt,P-enhed,29.06.2022,31.03.2025
Toscana,"Godthåbsvej 132, 2000 Frederiksberg",1028785956,Ophørt,P-enhed,02.12.2022,12.04.2025
Illyrian,"Tagensvej 98, st., 2200 København N",1026629922,Ophørt,P-enhed,25.12.2020,05.03.2025
Bait halab,"Frederiksborgvej 17, 2400 København NV",1026391055,Ophørt,P-enhed,01.11.2020,06.01.2025
royal bagel,"Nordre Frihavnsgade 52, st. th, 2100 København Ø",1030276015,Ophørt,P-enhed,15.04.2024,06.01.2025
Gastro Pizza/Besir Sakiri,"Kratbjerg 236, 3480 Fredensborg",1028745148,Ophørt,P-enhed,11.11.2022,24.01.2025
